This is potfit-git compiled on Nov 22 2016, 17:49:28.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> morse_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 4 parameters.
  k	T        	  m	F          	F_opt
 39	0.176741	  7	8.289274	8.120858
 39	0.176741	  8	8.187072	8.120858
 39	0.176741	  9	8.425884	8.120858
 39	0.176741	 10	8.249744	8.120858
 39	0.176741	 11	8.292680	8.120858
 39	0.176741	 12	8.268564	8.120858
 40	0.150230	  1	8.410724	8.120858
 40	0.150230	  2	8.203173	8.120858
 40	0.150230	  3	8.542133	8.120858
 40	0.150230	  4	8.167893	8.120858
 40	0.150230	  5	8.342378	8.120858
 40	0.150230	  6	8.150651	8.120858
 40	0.150230	  7	8.127545	8.120858
 40	0.150230	  8	8.255365	8.120858
 40	0.150230	  9	8.387441	8.120858
 40	0.150230	 10	8.147903	8.120858
 40	0.150230	 11	8.330728	8.120858
 40	0.150230	 12	8.170881	8.120858
 41	0.127696	  1	8.285901	8.120016
 41	0.127696	  2	8.313605	8.120016
 41	0.127696	  3	8.400792	8.120016
 41	0.127696	  4	8.190063	8.120016
 41	0.127696	  5	8.508292	8.120016
 41	0.127696	  6	8.348382	8.120016
 41	0.127696	  7	8.350544	8.120016
 41	0.127696	  8	8.337335	8.120016
 41	0.127696	  9	8.313711	8.120016
 41	0.127696	 10	8.330637	8.120016
 41	0.127696	 11	8.189764	8.120016
 41	0.127696	 12	8.198376	8.120016
 42	0.108541	  1	8.132874	8.120016
 42	0.108541	  2	8.526477	8.120016
 42	0.108541	  3	8.414365	8.120016
 42	0.108541	  4	8.124041	8.120016
 42	0.108541	  5	8.185908	8.120016
 42	0.108541	  6	8.243228	8.120016
 42	0.108541	  7	8.284447	8.120016
 42	0.108541	  8	8.248433	8.120016
 42	0.108541	  9	8.201989	8.120016
 42	0.108541	 10	8.241141	8.120016
 42	0.108541	 11	8.475066	8.120016
 42	0.108541	 12	8.552281	8.120016
 43	0.092260	  1	8.405811	8.120016
 43	0.092260	  2	8.276630	8.120016
 43	0.092260	  3	8.172457	8.120016
 43	0.092260	  4	8.176985	8.120016
 43	0.092260	  5	8.129875	8.120016
 43	0.092260	  6	8.273022	8.120016
 43	0.092260	  7	8.211291	8.120016
 43	0.092260	  8	8.137223	8.120016
 43	0.092260	  9	8.178159	8.120016
 43	0.092260	 10	8.197087	8.120016
 43	0.092260	 11	8.256042	8.120016
 43	0.092260	 12	8.327682	8.120016
 44	0.078421	  1	8.265866	8.120016
 44	0.078421	  2	8.308751	8.120016
 44	0.078421	  3	8.232902	8.120016
 44	0.078421	  4	8.238776	8.120016
 44	0.078421	  5	8.212121	8.120016
 44	0.078421	  6	8.214472	8.120016
 44	0.078421	  7	8.177882	8.120016
 44	0.078421	  8	8.141122	8.120016
 44	0.078421	  9	8.293498	8.120016
 44	0.078421	 10	8.219667	8.120016
 44	0.078421	 11	8.335493	8.120016
 44	0.078421	 12	8.226294	8.120016
 45	0.066658	  1	8.156585	8.120016
 45	0.066658	  2	8.160060	8.120016
 45	0.066658	  3	8.264952	8.120016
 45	0.066658	  4	8.233315	8.120016
 45	0.066658	  5	8.213790	8.119670
 45	0.066658	  6	8.184217	8.119670
 45	0.066658	  7	8.263845	8.119670
 45	0.066658	  8	8.126712	8.119670
 45	0.066658	  9	8.238352	8.119670
 45	0.066658	 10	8.194082	8.119670
